ref_x,ref_y,ref_z,x,y,z,w,e1,e2,e3,u,v,w,p,q,r,sec,nanosec
0.0,0.0,0.0,0.16716490735821152,-2.201898392746324,0.14006743959747175,-0.5970675197376986,0.0011424803954336103,0.0023383004312416,-0.8021867637675856,-0.017308447559244655,-0.0794699773744183,0.0027984296578662214,-0.0014451637071033474,0.0009951254128282017,0.03174787234456744,1375,198000000
0.0,0.0,0.0,0.17543624542329292,-2.2013733782092824,0.1400753068546879,-0.5957730299905226,0.0012137036684871949,0.0023620041680314243,-0.8031484573823366,-0.020123303377656554,-0.08172881363917396,-0.0003464565615841273,-0.0009010184669477894,0.0009028664351262705,0.03302536242699716,1375,330000000
0.0,0.0,0.0,0.18399676508416724,-2.2010219828536224,0.1400439000154527,-0.594403673330526,0.0012680366260919345,0.00237111887466643,-0.8041623237938806,-0.02227302629446438,-0.08372185029379604,-0.0033765048795777186,-0.0005104892011331685,0.0007768532100271841,0.03458831233729143,1375,428000000
0.0,0.0,0.0,0.19224101470878993,-2.1996699582498125,0.1400010574852253,-0.5931521353130139,0.0012403243558813245,0.00234340121683623,-0.8050860292166552,-0.0023675751231077144,-0.08194542621380922,0.0006714743663051275,0.0009816276929086598,-0.0005813359678086272,0.028570589529408608,1375,523000000
0.0,0.0,0.0,0.19947744207727988,-2.1960041312497585,0.14006870670931407,-0.5921571103972069,0.0011379292749721256,0.002304216031339452,-0.8058184363189241,0.0261455646636502,-0.07848080894150816,0.0017528562871953553,0.0019150398316014616,-0.0014689361705677584,0.021975506388116628,1375,620000000
0.0,0.0,0.0,0.20555493202666097,-2.1897676026344053,0.14002767935222482,-0.5913810783785169,0.0010120367162016212,0.0022819089025999393,-0.8063883610328881,0.05335620455137792,-0.07524251611044627,-0.0026480515448420805,0.0020490338783929474,-0.0018434440107739647,0.0173797470779391,1375,719000000
0.0,0.0,0.0,0.21054372542773062,-2.18112212796416,0.14002091835849662,-0.5907462346304986,0.0008702794013776115,0.002246037113208699,-0.8068538183592722,0.07838274512042974,-0.0723368991007017,0.0031245400312535374,0.002179350303777028,-0.0017954321947399876,0.014611189635616029,1375,823000000
0.0,0.0,0.0,0.21455569166314584,-2.1703827717750674,0.14007919215933112,-0.5901963573225661,0.0007299405409392756,0.0021987786601055295,-0.807256398155124,0.0993994742102427,-0.06949459044247855,0.0012567519572118987,0.0023775324734742753,-0.001570788163007819,0.012959453761141049,1375,928000000
0.0,0.0,0.0,0.21772278282688254,-2.1579764208460808,0.1400132677846643,-0.5896927183767794,0.0006075750675430046,0.002149718932916756,-0.8076246080045176,0.11577463039412934,-0.06659091908082101,-0.0031444859236436904,0.0021248034727250342,-0.0012156689422226918,0.01217906847159611,1376,33000000
0.0,0.0,0.0,0.21973469395596312,-2.1471471965803537,0.14004257560203137,-0.589282967336373,0.0005349371280457114,0.0021170374467232274,-0.8079237689299389,0.12539306377495224,-0.0642160747705735,0.002074816485559946,0.0015928607808746165,-0.0007812737919721258,0.01302058262808714,1376,122000000
